TimeMS,Acc,qDot
32.3,5.360878324060447,0.46338291918393987
32.301,5.3593341557987495,0.463182721672187
32.302,5.357790654655351,0.4629826394710142
32.303,5.356247820246009,0.46278267249740945
32.304,5.354705652186761,0.46258282066843315
32.305,5.351589628886352,0.46231507874642175
32.306,5.350049698620234,0.46211554501510144
32.307,5.348510432967233,0.461916126095565
32.308,5.346971831544938,0.46171682190524327
32.309,5.345433893971214,0.4615176323616387
32.31,5.34232436205998,0.46125068882955966
32.311,5.340788655062497,0.4610518161232352
32.312,5.339253610184115,0.4608530577324481
32.313,5.337719227044245,0.46065441357506937
32.314,5.3361855052625735,0.46045588356904127
32.315,5.334652444459056,0.4602574676323764
32.316,5.33155049530067,0.45999146248956885
32.317,5.330019656738298,0.459793361921906
32.318,5.328489477433233,0.4595953750943532
32.319,5.326959957006968,0.4593975019252899
32.32,5.3254310950812735,0.4591997423331654
32.321,5.323902891278182,0.45900209623649896
32.322,5.320808497328514,0.458737025111784
32.323,5.319282507471253,0.4585396929242025
32.324,5.317757174024317,0.4583424739047398
32.325,5.316232496611275,0.45814536797227967
32.326,5.314708474855958,0.45794837504577446
32.327,5.3116205053924626,0.45768409177513697
32.328,5.3100986904636045,0.4574874115176499
32.329,5.308577529487575,0.4572908439404113
32.33,5.307057022089728,0.45709438896273596
32.331,5.305537167895683,0.4568980465040077
32.332,5.304017966531329,0.45670181648367963
32.333,5.300937501361129,0.4564384591920365
32.334,5.2994204986014735,0.45624254039619255
32.335,5.29790414697509,0.4560467337149318
32.336,5.296388446109376,0.45585103906806634
32.337,5.294873395631996,0.4556554563754773
32.338,5.2933589951708795,0.4554599855571142
32.339,5.290286007117527,0.4551975499440676
32.34,5.288773797078474,0.4550023889138565
32.341,5.287262235367693,0.45480733943593116
32.342,5.285751321614608,0.4546124014305975
32.343,5.284241055448921,0.4544175748182303
32.344,5.281174425867104,0.45415591669339456
32.345,5.279666343100037,0.4539613986490362
32.346,5.278158906239632,0.45376699167730533
32.347,5.276652114917072,0.4535726956989307
32.348,5.275145968763806,0.4533785106347091
32.349,5.273640467411551,0.45318443640550515
32.35,5.270581264707655,0.45292369204987115
32.351,5.269077938643732,0.4527299249674345
32.352,5.267575255708415,0.45253626840152955
32.353,5.266073215534899,0.4523427222733727
32.354,5.26457181775664,0.452149286504248
32.355,5.263071062007358,0.45195596101550684
32.356,5.260019259366647,0.45169612619811006
32.357,5.258520670833891,0.45150310644294006
32.358,5.257022722665992,0.45131019665150796
32.359,5.255525414498142,0.45111739674551427
32.36,5.254028745965792,0.4509247066467269
32.361,5.2509832366559746,0.4506656391184324
32.362,5.24948872841107,0.4504732535526196
32.363,5.24799485814468,0.4502809774789378
32.364,5.246501625493724,0.45008881081950214
32.365,5.2450090300953764,0.44989675349649394
32.366,5.2435170715870685,0.4497048054321613
32.367,5.24047891276707,0.4494466396599497
32.368,5.238989106545565,0.4492549947302002
32.369,5.237499935565311,0.4490634587458685
32.37,5.236011399465198,0.44887203162954736
32.371,5.234523497884371,0.44868071330389564
32.372,5.233036230462234,0.4484895036916383
32.373,5.230005395673175,0.4482322355126603
32.374,5.22852027257505,0.44804132764448795
32.375,5.2270357819949655,0.44785052817825716
32.376,5.225551923573775,0.4476598370370355
32.377,5.224068696952583,0.4474692541439557
32.378,5.222586101772748,0.44727877942221583
32.379,5.219562564678643,0.44702240469714905
32.38,5.21808210589766,0.44683223033683633
32.381,5.216602276925485,0.4466421638382041
32.382,5.2151230774049155,0.4464522051247911
32.383,5.213644506979006,0.4462623541202006
32.384,5.210627176667084,0.44600673317078365
32.385,5.2091507358358164,0.4458171813528256
32.386,5.207674922473631,0.44562773693556074
32.387,5.206199736225011,0.44543839984293054
32.388,5.204725176734693,0.4452491699989413
32.389,5.203251243647661,0.44506004732766413
32.39,5.200241162338311,0.44480531221795716
32.391,5.198769350990365,0.44461648736508297
32.392,5.19729816442814,0.444427769378562
32.393,5.195827602298044,0.44423915818280074
32.394,5.194357664246732,0.44405065370226976
32.395,5.192888349921113,0.44386225586150413
32.396,5.189885491626491,0.44360840251856615
32.397,5.188418291221423,0.44342030113566655
32.398,5.1869517129324425,0.4432323060879321
32.399,5.185485756407875,0.44304441730023136
32.4,5.184020421296287,0.44285663469749625
32.401,5.181023706641425,0.44260352531065944
32.402,5.179560478736973,0.44241603800968726
32.403,5.1780978706427545,0.44222865659058164
32.404,5.176635882008748,0.44204138097860607
32.405,5.175174512485174,0.4418542110990873
32.406,5.173713761722501,0.4416671468774159
32.407,5.170724222030654,0.4414149117648088
32.408,5.169265570725053,0.44122814149851963
32.409,5.167807536585485,0.44104147658871523
