TimeMS,Acc,qDot
0.134,8.680574115463166,719.2003028022425
0.135,8.683751220062623,719.3222976685736
0.136,8.686929444247882,719.4443078567475
0.137,8.690108788381236,719.5663333655746
0.138,8.692739722862052,719.6656269595087
0.139,8.695921114213627,719.7876801611404
0.14,8.69910362653792,719.9097486800028
0.141,8.702287260197581,720.031832514898
0.142,8.704921715481854,720.131169715367
0.143,8.708107398884836,720.2532812338513
0.144,8.711294204648832,720.375408064922
0.145,8.714482133136805,720.497550207371
0.146,8.717671184711866,720.6197076599896
0.147,8.720310086855202,720.719099888977
0.148,8.72350119136201,720.841285013497
0.149,8.7266934199828,720.9634854447091
0.15,8.729886773081015,721.085701181396
0.151,8.732529205680713,721.1851369592194
0.152,8.735724614241288,721.3073803584527
0.153,8.738921148307206,721.429639059659
0.154,8.742118808242232,721.5519130616112
0.155,8.7447647755733,721.6513923625336
0.156,8.747964493503751,721.7736940176162
0.157,8.75116533833221,721.8960109699177
0.158,8.754367310422857,722.0183432182039
0.159,8.757016816764219,722.1178660163637
0.16,8.76022084938576,722.2402259083016
0.161,8.763426010299385,722.3626010926729
0.162,8.766632299869602,722.4849915682338
0.163,8.769839718461045,722.6073973337396
0.164,8.772493694659014,722.706975022473
0.165,8.775703176982883,722.8294084196093
0.166,8.778913789359102,722.9518571031064
0.167,8.782125532152655,723.0743210717105
0.168,8.78478305705116,723.1739421987718
0.169,8.78799686611814,723.2964337893873
0.17,8.791211806634617,723.4189406615031
0.171,8.79442787896591,723.5414628138556
0.172,8.797088956856463,723.6411273529698
0.173,8.800307098004625,723.763677117652
0.174,8.803526372000771,723.8862421589396
0.175,8.806746779210592,724.0088224755604
0.176,8.80941141438857,724.1085304003255
0.177,8.812633892961134,724.2311383195323
0.178,8.81585750578151,724.3537615104145
0.179,8.81908225321575,724.4763999716923
0.18,8.821750449980458,724.5761512555815
0.181,8.824977271325753,724.6988173096383
0.182,8.828205228320087,724.8214986304092
0.183,8.831434321329839,724.9441952166048
0.184,8.834664550721511,725.0669070669336
0.185,8.837337245859775,725.1667130670851
0.186,8.840569552380211,725.289452497756
0.187,8.843802996319008,725.4122071888476
0.188,8.847037578042963,725.5349771390577
0.189,8.849713844504265,725.634826437914
0.19,8.85295050591083,725.7576239585175
0.191,8.856188306140016,725.8804367345024
0.192,8.859427245559015,726.0032647645594
0.193,8.862107087655218,726.103157335175
0.194,8.8653481093131,726.2260129256131
0.195,8.868590271199235,726.34888376636
0.196,8.871833573681188,726.4717698560983
0.197,8.874516995728033,726.5717056714005
0.198,8.877762383007562,726.6946193114435
0.199,8.881008911922365,726.8175481966904
0.2,8.884256582840303,726.9404923258119
0.201,8.8875053961294,727.0634516974793
0.202,8.89019333974591,727.1634420846156
0.203,8.893444241063444,727.2864289938128
0.204,8.896696285792844,727.4094311417361
0.205,8.899949474302467,727.5324485270474
0.206,8.902641007643219,727.6324820972155
0.207,8.905896286745508,727.7555270098377
0.208,8.90915271066975,727.8785871560034
0.209,8.912410279784627,728.0016625343637
0.21,8.915105407177975,728.101739260071
0.211,8.9183650694522,728.22484215546
0.212,8.921625877959778,728.3479602791735
0.213,8.9248878330698,728.4710936298565
0.214,8.927586558847995,728.571213483482
0.215,8.93085060968645,728.6943743408457
0.216,8.934115808171072,728.8175504212833
0.217,8.93738215467128,728.9407417234295
0.218,8.940084483170397,729.040904677221
0.219,8.943352927970592,729.1641234756371
0.22,8.946622521831117,729.2873574918416
0.221,8.949893265121725,729.4106067244591
0.222,8.9531651582123,729.5338711721135
0.223,8.955872037042946,729.6340885153404
0.224,8.959146031680552,729.7573804460653
0.225,8.962421177164128,729.8806875878745
0.226,8.965697473863894,730.0040099393821
0.227,8.968407965235047,730.1042703195799
0.228,8.971686366058913,730.2276201436023
0.229,8.974965919145978,730.3509851733448
0.23,8.978246624866838,730.4743654074138
0.231,8.980960733127167,730.5746687964065
0.232,8.984243545551633,730.6980764923692
0.233,8.987527511657872,730.8214993886533
0.234,8.990812631816834,730.9449374838553
0.235,8.993530361318918,731.0452838533367
0.236,8.996817590763436,731.1687493997478
0.237,9.000105975309692,731.2922301410472
0.238,9.003395515328982,731.4157260758226
0.239,9.006116870429208,731.5161153973546
0.24,9.009408522318447,731.6396387725891
0.241,9.01270133073073,731.7631773372442
0.242,9.015995296037731,731.8867310898992
0.243,9.018720281096352,731.9871633349119
