ALT-KM,T-DEG-K,T-DEG-C
71.100000000000,233.400000000000,-39.750000000000
70.900000000000,234.400000000000,-38.750000000000
70.800000000000,234.700000000000,-38.450000000000
70.600000000000,233.000000000000,-40.150000000000
70.500000000000,229.000000000000,-44.150000000000
170.000000000000,141.000000000000,-132.150000000000
166.000000000000,134.000000000000,-139.150000000000
162.000000000000,135.000000000000,-138.150000000000
158.000000000000,133.000000000000,-140.150000000000
154.000000000000,132.000000000000,-141.150000000000
150.000000000000,133.000000000000,-140.150000000000
146.000000000000,136.000000000000,-137.150000000000
142.000000000000,143.000000000000,-130.150000000000
61.262000000000,234.000000000000,-39.150000000000
60.395000000000,240.800000000000,-32.350000000000
59.550000000000,246.300000000000,-26.850000000000
58.835000000000,252.600000000000,-20.550000000000
58.119000000000,261.000000000000,-12.150000000000
57.439000000000,267.600000000000,-5.550000000000
56.768000000000,273.700000000000,0.550000000000
56.204000000000,280.200000000000,7.050000000000
55.564000000000,286.300000000000,13.150000000000
55.053000000000,292.100000000000,18.950000000000
54.424000000000,298.000000000000,24.850000000000
53.929000000000,303.800000000000,30.650000000000
53.368000000000,309.300000000000,36.150000000000
52.914000000000,314.400000000000,41.250000000000
52.373000000000,319.700000000000,46.550000000000
51.886000000000,324.700000000000,51.550000000000
51.424000000000,329.400000000000,56.250000000000
50.968000000000,334.200000000000,61.050000000000
50.505000000000,338.600000000000,65.450000000000
50.106000000000,342.800000000000,69.650000000000
49.659000000000,346.700000000000,73.550000000000
49.233000000000,349.200000000000,76.050000000000
48.824000000000,351.300000000000,78.150000000000
48.684000000000,352.700000000000,79.550000000000
48.278000000000,356.200000000000,83.050000000000
47.876000000000,359.300000000000,86.150000000000
47.525000000000,362.000000000000,88.850000000000
47.147000000000,365.400000000000,92.250000000000
46.763000000000,368.500000000000,95.350000000000
46.393000000000,371.500000000000,98.350000000000
46.056000000000,374.100000000000,100.950000000000
45.698000000000,376.900000000000,103.750000000000
45.366000000000,379.600000000000,106.450000000000
45.040000000000,381.600000000000,108.450000000000
44.725000000000,382.400000000000,109.250000000000
44.405000000000,384.200000000000,111.050000000000
44.083000000000,386.600000000000,113.450000000000
43.790000000000,388.800000000000,115.650000000000
43.498000000000,390.700000000000,117.550000000000
43.193000000000,392.100000000000,118.950000000000
42.873000000000,393.800000000000,120.650000000000
42.570000000000,396.200000000000,123.050000000000
42.279000000000,397.900000000000,124.750000000000
41.999000000000,400.000000000000,126.850000000000
41.733000000000,402.100000000000,128.950000000000
41.470000000000,403.800000000000,130.650000000000
41.185000000000,405.500000000000,132.350000000000
40.912000000000,407.800000000000,134.650000000000
40.636000000000,409.400000000000,136.250000000000
40.413000000000,411.400000000000,138.250000000000
40.154000000000,413.400000000000,140.250000000000
39.876000000000,415.300000000000,142.150000000000
39.643000000000,417.000000000000,143.850000000000
39.364000000000,418.900000000000,145.750000000000
39.142000000000,420.600000000000,147.450000000000
38.876000000000,422.500000000000,149.350000000000
38.640000000000,424.400000000000,151.250000000000
38.416000000000,426.100000000000,152.950000000000
38.173000000000,428.000000000000,154.850000000000
37.895000000000,429.900000000000,156.750000000000
37.678000000000,431.600000000000,158.450000000000
37.424000000000,433.400000000000,160.250000000000
